,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
10,12500,7951,4549,3180,2385,1713,673,7951.0,4173,3840,1308,749,688,234,369,343,110,903,839,289,12,11,2,2140,1959,673,3179,493.7687821619837,1159.4510565044927,360.0,659.3538031802958,1061.0794442059082,1330.5339896605067,1391.8067169332548,446.4469073104319,446.36119302471764,446.79387700740165,416.50448306800723,124,17,34,41,1,0
11,12500,8118,4382,3247,2435,1978,458,,4664,4020,816,1046,881,179,369,324,49,737,655,130,7,5,0,2505,2155,458,3000,527.7804544711324,1180.133665506102,360.0,880.223633972387,1131.4963612451184,1375.1327248815433,,481.02309990289393,480.85340293319695,481.14799167778574,417.52309990289257,127,15,43,31,1,75
12,12500,8102,4398,3241,2431,1569,861,,3439,4434,1601,388,500,189,629,830,296,600,700,251,9,2,4,1813,2402,861,3026,514.2719924200333,1241.9117627683022,360.0,859.8761354773746,1108.869142470369,1384.4145970158722,,470.4827547124471,467.54033047002275,471.2624083921008,364.55699713668696,127,36,22,32,1,580
13,12500,8620,3880,3448,2586,2098,488,,4382,2424,988,612,341,155,740,417,160,830,440,185,0,0,0,2200,1226,488,4706,518.2576262740507,1237.161465902346,360.0,883.0785017134077,1147.9875926225093,,,442.76121856175155,442.4142488647818,442.48329648382946,0.0,135,27,23,30,0,693
14,12500,7495,5005,2998,2248,1965,284,,3956,4352,671,698,807,124,762,857,143,721,769,118,3,1,2,1772,1918,284,3521,847.4761905007812,,360.0,1152.5003397314993,1371.682157913387,,,615.3019620393208,614.6270702644289,614.954992342351,372.0240399613922,118,36,33,33,1,2249
15,12500,9336,3164,3734,2801,2072,729,9336.0,4833,3039,1146,802,489,167,90,49,28,761,548,221,5,3,1,3175,1950,729,3482,423.854211374759,1103.6044924230932,360.0,629.0417983733882,1044.4457610773163,1307.6275792591987,1373.9912156228577,348.1606462682283,348.0058843634664,348.10826531584735,341.3706029781848,146,4,30,31,1,0
16,12500,8627,3873,3451,2588,2107,481,,4092,2855,937,783,516,161,662,481,169,563,405,124,4,3,2,2080,1450,481,4616,502.781814430304,1186.4672681697384,360.0,859.0005124521334,1120.2312816828946,1393.5040089556871,,417.6868974261169,417.15183249105195,416.85724374646315,317.2001008893175,135,27,30,22,1,301
17,12500,8065,4435,3226,2420,1808,611,,4564,4007,1153,1442,1311,386,423,407,113,160,139,42,6,5,1,2533,2145,611,2776,540.0820980124741,1247.4765520000972,360.0,900.4268178728528,1150.4268178728692,,,500.10187603648416,500.43217906678717,497.9891054737135,457.6421357767427,126,19,63,7,1,629
18,12500,9177,3323,3671,2753,2246,507,9177.0,3984,3661,854,583,530,123,409,351,107,556,536,116,6,5,1,2430,2239,507,4001,463.4751947606112,1132.9920688273558,360.0,654.2514951089979,1086.3940359015182,1352.3940359015878,1398.5758540834217,386.1720277855022,388.9954044088789,387.22722259069707,376.94302345649766,143,18,25,25,1,0
19,12500,7669,4831,3068,2301,1934,366,,4972,4022,759,930,717,138,746,628,123,771,634,131,8,4,1,2517,2039,366,2747,580.5783292040359,1266.4639718334188,360.0,957.5793308414197,1196.6702399323772,,,541.105317022328,541.0719836889947,541.3499057669168,480.72501399202326,120,30,36,31,1,722
