,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
86,12500,6394,6106,2558,1918,1685,233,,4562,3677,695,1287,980,185,1034,859,161,798,664,114,17,5,2,1426,1169,233,3566,892.2750191349195,,360.0,1157.2998451282183,1346.4816633100959,,,659.2291060001746,658.4851666062352,657.6888462599148,528.9949068659718,100,42,50,32,1,1220
87,12500,8390,4110,3356,2517,2003,514,8390.0,4926,4548,882,751,680,153,359,314,63,837,782,152,8,11,0,2971,2761,514,2144,485.55827424339236,,360.0,660.1789235402764,1076.2584663924229,1273.258466392485,1319.9857391197736,452.5885205724455,452.86644265036756,452.2748842088091,444.15583658976124,130,15,32,36,1,0
88,12500,8311,4189,3324,2493,1816,678,8311.0,4730,4488,1169,687,682,184,363,342,85,823,771,216,14,16,6,2843,2677,678,2113,489.04489405708705,,360.0,662.0136436740183,1079.5728499396987,1259.4819408488459,1321.1183044852305,458.16082641988515,457.78052338958213,457.5192679783267,452.7396142986729,130,16,32,37,1,0
89,12500,7796,4704,3118,2339,2013,326,,4152,3376,710,651,556,103,554,423,90,1204,926,191,0,6,0,1743,1465,326,4262,570.8386679067418,,360.0,944.6376079802175,1187.1663958590468,1385.0754867682,,501.5039570003827,502.0931344895602,503.40612150254725,445.0879396843638,121,22,27,47,1,52
90,12500,7861,4639,3144,2358,1887,472,7861.0,5185,3478,917,733,481,115,1007,671,185,766,526,145,4,6,0,2675,1794,472,2920,562.9545030899843,,360.0,933.2315317815975,1177.4133499634506,1363.8678954180546,1406.77698632716,517.1490989467034,516.8694452670496,517.0800513276557,493.4603543579581,124,38,27,29,1,0
91,12500,7998,4502,3199,2399,1882,518,7998.0,4033,3976,1021,641,653,152,878,857,230,473,478,120,13,6,1,2028,1982,518,3470,530.6844284671764,,360.0,880.8855952877761,1128.8855952877796,1314.7946861969288,1361.885595287854,478.15544917587783,478.50241887284756,478.1911634615921,460.0260119464401,124,40,29,22,1,0
92,12500,7746,4754,3098,2324,1712,612,7746.0,3877,3696,1273,830,748,248,395,389,136,853,865,274,4,9,3,1795,1685,612,3654,549.6730825232726,,360.0,905.7766900089736,1146.8675990998993,1317.503962736316,1373.1403263726986,493.3603949575427,494.67706162420944,494.7103949575428,479.5088798060272,121,19,37,40,1,0
93,12500,8420,4080,3368,2526,1842,684,8420.0,4538,3058,1282,583,366,172,443,328,127,1038,714,298,6,4,1,2468,1646,684,3622,488.1836094329972,,360.0,663.4631029087656,1082.6148911850948,1265.0694366396974,1327.2512548215368,418.19929688690496,419.74947377767467,418.2159635535716,367.4025040807035,131,18,23,41,1,0
94,12500,8546,3954,3418,2564,1978,586,,4494,2932,1077,1014,620,217,869,555,206,219,153,64,12,21,4,2380,1583,586,3997,536.4474489549153,,360.0,911.1282605482453,1174.219169639182,1368.8555332756068,,476.0912732635732,476.0055589778589,476.0222256445256,457.4434377657372,134,33,38,9,1,134
95,12500,7836,4664,3134,2351,1567,784,7836.0,4589,4352,1447,512,448,147,901,888,295,637,599,217,8,8,4,2531,2409,784,2112,517.9818246486645,,360.0,858.0287960670217,1097.80770049591,1255.171336859595,1326.4440641323465,488.54909660087645,489.1049407567206,488.82701867879854,417.4467156484939,124,42,23,30,1,0
96,12500,8082,4418,3233,2425,1791,633,8082.0,4225,4184,1125,628,598,151,515,517,141,820,845,199,2,1,1,2260,2223,633,2966,539.2834861213206,,360.0,899.8278151255927,1150.1747848225784,1327.9020575499067,1385.53842118629,495.4829752768455,495.76089735476756,496.3292956231658,390.76717441104205,126,24,28,38,1,0
97,12500,8460,4040,3384,2538,2036,502,8460.0,3918,4289,904,378,407,77,500,559,118,819,965,205,4,6,2,2217,2352,502,3389,515.2717398339589,,360.0,871.6158850973313,1132.1613396427879,1332.25224873376,1377.8886123701393,463.98042372003306,464.93323757284696,464.6553154949249,344.87804276764916,133,24,18,40,1,0
98,12500,8387,4113,3355,2516,1975,541,8387.0,4416,3773,984,795,640,155,620,521,142,560,528,146,2,4,0,2439,2080,541,3327,522.254586901496,,360.0,881.0331127109289,1139.5785672563907,1334.0331127109973,1383.3058399837414,469.82293030536994,469.97596060840027,470.0276922101319,395.2032333356713,131,26,32,25,1,0
99,12500,8470,4030,3388,2541,1925,616,,3782,3432,1206,618,543,218,463,419,142,748,646,229,2,1,1,1951,1823,616,4080,535.7718873955547,,360.0,908.0738928052884,1168.982983714404,1358.8920746235547,,473.83140651490635,473.4511034846033,474.07599525949513,378.4344368179344,133,21,28,33,1,53
