,Truck_1_Arrival,Truck_2_Arrival,Truck_3_Arrival,Truck_4_Arrival,Truck_5_Arrival,Truck_6_Arrival,Truck_7_Arrival,Truck_8_Arrival,Truck_9_Arrival,Truck_10_Arrival,Truck_11_Arrival,Truck_12_Arrival,Truck_13_Arrival,Truck_14_Arrival,Truck_15_Arrival,Truck_1_Volume,Truck_2_Volume,Truck_3_Volume,Truck_4_Volume,Truck_5_Volume,Truck_6_Volume,Truck_7_Volume,Truck_8_Volume,Truck_9_Volume,Truck_10_Volume,Truck_11_Volume,Truck_12_Volume,Truck_13_Volume,Truck_14_Volume,Truck_15_Volume
33,51.10146408,121.722399,90.32473002,113.7159856,82.12172372,157.5827917,176.9679781,219.4508019,250.0378749,220.4843402,238.5572226,973.166866,987.0563291,1015.969994,980.4111527,513,467,301,369,612,923,50,535,900,515,446,294,185,170,215
34,27.18853944,145.1579278,136.5783206,96.58667252,141.3230631,180.7905166,159.3011475,204.7554117,236.6101345,274.8527484,211.269281,952.7489441,989.4509633,983.7286167,932.5633472,230,447,656,88,564,352,308,538,1229,906,141,35,194,67,151
35,94.60181451,124.382271,90.07015555,125.1989143,165.8064594,125.0899835,176.1178459,214.5180397,232.3358491,190.8301663,267.1751465,927.6041869,919.9950771,1018.427068,930.4112256,343,568,427,293,280,647,417,414,802,723,473,125,304,38,50
36,70.21573083,148.5367081,111.2130963,125.804403,173.19885,166.4298939,158.418921,207.4014406,193.953435,223.483198,247.1356129,912.9764849,892.8724352,991.6403079,851.7306322,579,785,607,473,410,824,228,475,722,703,280,153,109,180,196
37,37.03812943,86.03944396,92.08468603,77.78424968,127.21079,155.7422665,212.4603809,201.763274,247.7497462,285.1389401,224.3305143,921.7196135,994.3129001,950.0456367,955.4646847,442,683,649,224,569,885,462,527,688,368,393,126,246,163,152
38,58.38689492,87.01001446,92.79082124,179.2854252,166.8087962,106.7435958,174.8597242,235.72681,204.8252072,287.3917952,220.6570896,924.6327102,1020.59725,1000.811222,898.4579835,360,472,208,277,532,908,79,784,1031,607,275,171,223,150,70
39,31.42218951,139.2241096,126.4387063,117.3016554,98.27120018,158.5284076,174.6154861,216.4245115,231.1143161,262.6905176,215.8932788,929.740037,926.71965,997.2288404,912.270734,371,163,368,365,643,791,203,443,380,715,473,118,38,178,100
40,84.16103807,112.2115683,132.4178091,95.77189792,145.6398745,187.5565158,157.496135,207.5534381,192.349817,241.5118324,206.7642216,962.0421434,957.1841739,960.8962416,913.0056292,264,594,907,280,515,555,0,371,797,894,382,124,115,108,205
41,81.80659745,129.4437396,128.2708294,118.7975386,141.5837446,153.9679295,160.8296103,225.3583891,255.3554751,246.4328844,244.8600338,958.7275948,907.6094572,1011.776218,985.9151532,239,126,531,313,271,541,124,505,926,500,643,78,244,99,38
42,37.03710146,88.87779056,129.1052365,104.6065793,87.46378509,149.4400145,195.2595279,232.7850202,219.5010602,240.8521162,213.9232606,923.8224174,1018.425999,988.8510267,845.3764502,498,295,604,482,291,969,106,578,1040,872,252,213,200,131,120
