,Truck_1_Arrival,Truck_2_Arrival,Truck_3_Arrival,Truck_4_Arrival,Truck_5_Arrival,Truck_6_Arrival,Truck_7_Arrival,Truck_8_Arrival,Truck_9_Arrival,Truck_10_Arrival,Truck_11_Arrival,Truck_12_Arrival,Truck_13_Arrival,Truck_14_Arrival,Truck_15_Arrival,Truck_1_Volume,Truck_2_Volume,Truck_3_Volume,Truck_4_Volume,Truck_5_Volume,Truck_6_Volume,Truck_7_Volume,Truck_8_Volume,Truck_9_Volume,Truck_10_Volume,Truck_11_Volume,Truck_12_Volume,Truck_13_Volume,Truck_14_Volume,Truck_15_Volume
31,87.58097966,96.25613729,121.3054521,166.6027893,163.5780181,192.6027347,184.5177594,222.448677,207.6812212,239.0370764,121.0241588,946.8809807,913.9950013,957.7933992,826.3460932,543,351,675,268,233,798,185,422,368,736,549,218,84,176,119
32,76.79669873,72.42661025,131.0898627,95.8084801,128.378117,174.3432195,195.324234,228.4981851,186.5258758,257.4266228,197.4312348,940.6037848,942.9520395,966.602188,965.6801901,339,641,634,235,286,571,0,596,604,623,205,192,373,101,188
33,56.63026351,93.42873413,130.0061287,107.1259149,159.8084477,149.2546555,216.3335536,205.650178,237.262043,273.221685,231.6974669,975.5656778,925.5018442,996.3015914,919.9757321,655,405,607,462,109,764,136,522,315,731,342,191,246,59,204
34,83.93811683,139.5310238,115.9567111,154.4402668,155.8905608,186.4678588,213.5047368,214.6801643,225.738593,209.5865951,239.578858,915.9841498,984.5191448,977.2300723,917.3452957,428,623,651,425,391,549,304,387,661,469,172,77,161,226,198
35,45.11634015,127.8379413,131.449683,94.14982156,138.9871517,147.5178286,170.8341189,205.522044,203.0741506,283.6726561,148.0788205,946.7130281,925.1985603,954.5463122,893.6106499,274,596,729,181,325,484,0,485,871,466,274,162,179,267,151
36,31.18768633,79.08183894,134.7167594,103.9601048,129.4357913,187.6607955,165.0804638,242.8446938,230.0096464,251.5346969,221.1110285,976.960085,974.431664,980.4450516,947.1465326,644,528,483,432,653,338,23,440,984,580,496,72,275,200,165
37,96.83740944,70.55465229,139.3940453,142.6547269,110.7506596,175.5128551,147.3987089,211.6816482,228.618848,219.0669293,163.3024671,918.6010234,933.9579492,1013.111577,844.8028178,295,753,728,170,733,726,397,596,975,575,472,73,112,134,204
38,82.58062851,92.68369392,124.886295,179.4350854,87.11028497,176.6743157,191.4192917,220.3535897,169.511108,249.3073364,276.4357456,930.926947,873.2843782,944.2063981,899.5210847,187,761,589,104,351,691,100,808,116,812,407,217,5,115,243
39,29.00605236,104.0421497,124.3596887,132.9166649,80.06609655,174.9904138,145.4865615,252.1889384,202.7493945,223.4584069,311.0168661,958.4695241,946.0459163,995.6691433,814.2588276,388,810,608,178,590,932,205,485,440,508,308,291,190,9,46
40,83.11210284,40.10590445,93.46691953,140.3720169,141.3965357,159.1169267,156.1224369,223.9241113,237.8008287,250.610313,229.6881216,978.3575224,886.8793901,966.4794406,925.4369408,540,491,843,211,431,786,195,427,362,704,619,220,271,91,134
